"Male","Female","Block","Yield"
"A1","B1",1,9.98471788810016
"A1","B1",2,13.93266333048
"A1","B1",3,12.201311997324
"A1","B1",4,1.91666138181612
"A1","B2",1,8.92846471167806
"A1","B2",2,10.5139084211959
"A1","B2",3,10.0359644933924
"A1","B2",4,2.37582185198696
"A1","B3",1,21.5110284063198
"A1","B3",2,21.8598520266041
"A1","B3",3,17.6262842217141
"A1","B3",4,13.9666461726012
"A2","B4",1,17.4830894716988
"A2","B4",2,19.4808930287536
"A2","B4",3,12.8387921499838
"A2","B4",4,10.9210346513059
"A2","B5",1,13.6054042653092
"A2","B5",2,12.581224988367
"A2","B5",3,13.4200509581304
"A2","B5",4,5.30682496803299
"A2","B6",1,11.2880942878798
"A2","B6",2,10.4240367972551
"A2","B6",3,8.85975453562936
"A2","B6",4,4.31235387969078
"A3","B7",1,21.9462457325042
"A3","B7",2,24.7014268469112
"A3","B7",3,20.3057175458839
"A3","B7",4,13.507423954202
"A3","B8",1,22.2268092134757
"A3","B8",2,19.3659331442133
"A3","B8",3,18.2068086802207
"A3","B8",4,11.1093107199642
"A3","B9",1,9.00162652306036
"A3","B9",2,13.4442296910351
"A3","B9",3,11.2559378781279
"A3","B9",4,6.72347847881179
